SKU,Brand,Product Name,Current Price,Price per unit,Unit Size,Previous Price,On Special,Suppliers,Category,Availability,URL,Date
3735400P,Nestle,Aero Hot Chocolate,6.3,$0.63 per 1Ea,10 pack,,,['621994 NESTLE AUST LTD'],drinks,Available,https://shop.coles.com.au/a/national/product/nestle-aero-hot-chocolate,2021-04-23
3920297P,Coles,Kitchen Tomato & Smoked Bacon Sauce,4.2,$0.99 per 100G,425g,,,['979047 CHEF FRESH PTY LTD (JFF) (CB)'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/coles-kitchen-tomato-smoked-bacon-sauce,2021-04-23
1745902P,Thursday Plantation,Tea Tree Oil,14.43,$28.86 per 100mL,50mL,16.5,Specials,['429546 INTEGRIA HEALTH CARE'],health-beauty,Available,https://shop.coles.com.au/a/national/product/thursday-plantation-tea-tree-oil,2021-04-23
3995842P,Nescafe,Quality Street Hot Chocolate Fudge The Pink One,6.5,$2.24 per 100G,290g,,,['621994 NESTLE AUST LTD'],drinks,Available,https://shop.coles.com.au/a/national/product/chocolate-the-pink-one,2021-04-23
4719400P,Wrigley's,Eclipse Sugar Free Spearmint Ice Chewing Gum 4 x 10 Piece Pack,2.8,$5.00 per 100G,56g,3.5,Specials,"['51314 THE WRIGLEY CO P/L', '974932 MARS WRIGLEY CONFECTIONERY']",pantry,Available,https://shop.coles.com.au/a/national/product/wrigleys-eclipse-ice-chewing-gum-spearmint-sugar-free,2021-04-23
3791059P,Murray River Organics,Tropical Muesli,7.5,$2.50 per 100G,300g,,,"['973658 MURRAY RIVER ORGANICS (CB)', '978177 MURRAY RIVER ORGANICS LTD']",pantry,Available,https://shop.coles.com.au/a/national/product/murray-river-organics-tropical-muesli,2021-04-23
1961442P,Olay,Regenerist Luminous Face Cream Moisturiser,49.0,$98.00 per 100G,50g,,,['422720 PROCTER & GAMBLE AUST P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/olay-regenerist-luminous-tone-perfecting-cream-1961442p,2021-04-23
4276342P,SPC,Spaghetti in Rich Tomato,1.4,$0.33 per 100G,420g,,,"['976400 SHEPPARTON PARTNERS COLLECTIVE O', '41327 SPC ARDMON']",pantry,Available,https://shop.coles.com.au/a/national/product/spc-spaghetti-rich-tomato,2021-04-23
3569120P,Cool Pak,Original Popcorn 16 Pack,4.0,$1.92 per 100G,208g,4.6,Specials,['651451 THE SMITHS SNACKFOOD P/L'],pantry,Available,https://shop.coles.com.au/a/national/product/coolpack-popcorn-original,2021-04-23
3139867P,Aussie Bodies,Lo Carb Whip'd Boysenberry Ripple Protein Bar,9.0,$7.50 per 100G,120g,,,['929075 VITACO HEALTH AUSTRALIA P/L'],pantry,Available,https://shop.coles.com.au/a/national/product/aussie-bodies-lc-whipd-boysenberry-3139867p,2021-04-23
2791199P,Coles,Glace Cherries,2.5,$16.67 per 1Kg,150g,,,['953991 MAXWELL FOOD PRODUCTS P/L HOUSEB'],pantry,Available,https://shop.coles.com.au/a/national/product/coles-glace-cherries,2021-04-23
3969037P,Covergirl,Clean Fresh Pressed Powder Translucent,19.0,$19.00 per 10G,10g,,,['975672 COSMETIC SUPPLIERS PTY LTD'],health-beauty,Available,https://shop.coles.com.au/a/national/product/powder-translucent,2021-04-23
4590733P,Avent,Fast Flow Teat 6+ Months,10.0,$5.00 per 1Ea,2 pack,,,"['922167 ENDEAVOUR CH P/L', '422592 BADEN P MORRIS P/L']",baby,Available,https://shop.coles.com.au/a/national/product/avent-naturally-clear-silicone-teat-6-mths-fast-flow,2021-04-23
3800987P,Mission,Chunky Mild Salsa,4.0,$1.33 per 100G,300g,4.3,Specials,['953327 GRUMA OCEANIA P/L'],international-foods,Available,https://shop.coles.com.au/a/national/product/mission-chunky-mild-salsa,2021-04-23
3499738P,Coles,Urban Coffee Culture Single Origin Ground Columbia Coffee,6.0,$2.40 per 100G,250g,,,"['656186 COLES SUPERMARKETS (EXP)', '968352 COFFEECAPS P/L', '975850 SUNTORY COFFEE AUSTRALIA (COLESB']",drinks,Available,https://shop.coles.com.au/a/national/product/coles-urban-coffee-culture-s-o-grnd-columbia,2021-04-23
9855562P,Mountain Dew,Caffeinated Citrus,1.3,$1.04 per 1L,1.25L,2.35,Specials,['44059 ASAHI BEVERAGES PTY LTD'],entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/mountain-dew-soft-drink-citrus,2021-04-23
2678571P,Coles,Kitchen Teriyaki Stir Fry Sauce,3.0,$1.67 per 100G,180g,,,"['414760 ST GEORGE PROD PTY LTD', '939312 FRESH PRODUCE DC (NSW)', '97446 CARTER & SPENCER GROUP P/L', '933347 COSTAS (TASMANIA)', '939301 FRESH PRODUCE DC (WA)', ""635235 COSTA'S P/L (VIC DC)"", '942633 CARTER & SPENCER NORTH QLD']",convenience-meals,Available,https://shop.coles.com.au/a/national/product/coles-teriyaki-stir-fry-sauce,2021-04-23
2995100P,Cancer Council,Sport Sunscreen Pump SPF 50+,27.0,$5.40 per 100mL,500mL,,,"['939637 VITALITY BRANDS WORLDWIDE P/L', '943654 VITALITY BRANDS WORLDWIDE PTY LI']",health-beauty,Available,https://shop.coles.com.au/a/national/product/cancer-council-sport-sunscreen-pump-spf50,2021-04-23
3055494P,Primo,Gluten Free Streaky Bacon,5.5,$2.75 per 100G,200g,,,['328677 PRIMO FOODS PTY LTD'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/primo-streaky-bacon,2021-04-23
4217875P,Coles,Natures Kitchen Butter Tofu Vegetable Curry,7.0,$2.00 per 100G,350g,,,['979047 CHEF FRESH PTY LTD (JFF) (CB)'],convenience-meals,Available,https://shop.coles.com.au/a/national/product/butter-tofu-veg-curry,2021-04-23
